PARTICIPANT DETAILS----------------------------------------------,,,,,,,,,,,,,,,,,,,,
NAME:,P8 BSE,,,,,,,,,,,,,,,,,,,
AGE:,25,,,,,,LL2,,LL3,,,LL4,,,,LL5,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,To see in the dark you can turn on a light,If I am cold on my hands I should wear my gloves,Birds flap and flap their wings to fly,,,,,,,,,,,,,,,,,
Presentation Time:,3.566667,3.833333,3.483333,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,light,gloves,fly,,,,1,1,1,,,1,,,,,,,,
Response:,light,gloves,fly,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,When it is dark we can see stars at night,If I don't have a coat and it rains I will get wet,Daffy is a duck and Snoopy is a dog,,,,,,,,,,,,,,,,,
Presentation Time:,3.35,4.183333,3.7,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,night,wet,dog,,,,1,1,1,,,1,,,,,,,,
Response:,night,wet,dog,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Three Score:,02-Mar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,At night time I go to sleep in my bed,The big noisy dog chased the cat,A giraffe is an animal with a long neck,I put on my helmet and went for a bicycle ride,,,,,,,,,,,,,,,,
Presentation Time:,3.416667,3.5,2.9,4.166667,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,bed,cat,neck,ride,,,1,1,0,1,,0,,,,,,,,
Response:,bed,cat,dk,ride,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,He rowed across the river in a rowing boat,The farm animals that wool comes from are sheep,The next number after one and two is three,I went to the swimming pool with Dad to swim,,,,,,,,,,,,,,,,
Presentation Time:,3.35,3.816667,3.416667,3.416667,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,boat,sheep,three,swim,,,1,1,0,1,,0,,,,,,,,
Response:,boat,sheep,dk,swim,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,On the pirate ship they found silver and gold,Robin likes to spend all of his money at a sweet shop,On my hand I have four fingers and one thumb,At lunchtime I cut my food with a knife,,,,,,,,,,,,,,,,
Presentation Time:,3.466667,4.183333,3.983333,3.266667,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,gold,shop,thumb,knife,,,1,0,1,1,,0,,,,,,,,
Response:,gold,sweets,thumb,knife,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
List Length Four Score:,0/3,,,,,,,,,,,,,,,,,,,
