PARTICIPANT DETAILS----------------------------------------------,,,,,,,,,,,,,,,,,,,,
NAME:,P12 BSE,,,,,,,,,,,,,,,,,,,
AGE:,19,,,,,,LL2,,LL3,,,LL4,,,,LL5,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
List Length Four Score:,37315,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,5,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,The big spider has eight hairy legs,They played soccer with a foot ball,'Moo moo' said the black and white cow,The next number after four is five,I like to play with my teddy bear,,,,,,,,,,,,,,,
Presentation Time:,3.233333,2.75,2.683333,2.616667,2.2,,SP1,SP2,SP3,SP4,SP5,Trial Correct,,,,,,,,
Target: ,legs,ball,cow,five,bear,,1,0,0,0,0,0,,,,,,,,
Response:,legs,cow,five,bear,dk,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,5,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,Every day I wash and comb my hair,Mum and I read a story from a book,Ben laughed and then clapped his hands,My friends and I play hide and seek,Jane skips with a skipping rope,,,,,,,,,,,,,,,
Presentation Time:,2.683333,2.533333,2.633333,2.533333,2.3,,SP1,SP2,SP3,SP4,SP5,Trial Correct,,,,,,,,
Target: ,hair,book,hands,seek,rope,,1,1,1,1,1,1,,,,,,,,
Response:,hair,book,hands,seek,rope,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,5,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,Mary got home and unlocked the door,The dog was so happy he wagged his tail,I am very thirsty and I really want a drink,I paint on paper with a paint brush,We see things with our eyes,,,,,,,,,,,,,,,
Presentation Time:,2.783333,2.45,2.533333,2.533333,1.9,,SP1,SP2,SP3,SP4,SP5,Trial Correct,,,,,,,,
Target: ,door,tail,drink,brush,eyes,,1,1,0,1,1,0,,,,,,,,
Response:,door,tail,thirsty,brush,eyes,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
List Length Five Score:,37315,,,,,,,,,,,,,,,,,,,
