PARTICIPANT DETAILS----------------------------------------------,,,,,,,,,,,,,,,,,,,,
NAME:,P10 BSE,,,,,,,,,,,,,,,,,,,
AGE:,18,,,,,,LL2,,LL3,,,LL4,,,,LL5,,,,
Presentation Time:,3.95,3.166667,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,sheep,thumb,,,,,1,1,,,,1,,,,,,,,
Response:,sheep,thumb,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Two Score:,03-Mar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,If my hair gets too long I have it cut,Jim sometimes goes out to eat fish and chips,When he did the trick the magician waved his magic wand,,,,,,,,,,,,,,,,,
Presentation Time:,2.95,3.25,3.75,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,cut,chips,wand,,,,1,1,1,,,1,,,,,,,,
Response:,cut,chips,wand,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,The rocket made a noise as it went into outer space,The clown had a big smiling face,Robin likes to spend all of his money at a sweet shop,,,,,,,,,,,,,,,,,
Presentation Time:,3.766667,2.85,3.55,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,space,face,shop,,,,1,1,1,,,1,,,,,,,,
Response:,space,face,shop,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,A dog is in the park and it runs very fast,When it is dark we can see stars at night,If I am cold on my hands I should wear my gloves,,,,,,,,,,,,,,,,,
Presentation Time:,3.5,2.95,3.733333,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,fast,night,gloves,,,,0,1,1,,,0,,,,,,,,
Response:,dk,night,gloves,,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
List Length Three Score:,02-Mar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,Snow is very cold and the colour white,The leaves grow in the big tall trees,The post box on the street is coloured red,The big noisy dog chased the cat,,,,,,,,,,,,,,,,
Presentation Time:,3.316667,2.65,3.016667,3,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,white,trees,red,cat,,,0,1,1,1,,0,,,,,,,,
Response:,snow,trees,red,cat,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,Daffy is a duck and Snoopy is a dog,Around the track and 'choo choo' goes the train,I put on my helmet and went for a bicycle ride,'Quack quack' said the mother to the little duck,,,,,,,,,,,,,,,,
Presentation Time:,3.3,3.283333,3.55,3.066667,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,dog,train,ride,duck,,,0,1,1,1,,0,,,,,,,,
Response:,dk,train,ride,duck,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,The snail lost the race because it is very slow,At lunchtime I cut my food with a knife,I can tell what the time is with my wrist watch,In the middle of a fire it feels very hot,,,,,,,,,,,,,,,,
Presentation Time:,4.266667,2.75,3.383333,3.133333,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,slow,knife,watch,hot,,,0,0,0,1,,0,,,,,,,,
Response:,cut,dk,dk,hot,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
List Length Four Score:,0/3,,,,,,,,,,,,,,,,,,,
