PARTICIPANT DETAILS----------------------------------------------,,,,,,,,,,,,,,,,,,,,
NAME:,P2 BSE,,,,,,,,,,,,,,,,,,,
AGE:,20,,,,,,LL2,,LL3,,,LL4,,,,LL5,,,,
List Length:,5,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,The sky on a sunny day is coloured blue,Around the track and 'choo choo' goes the train,When he did the trick the magician waved his magic wand,My nice white teeth are in my mouth,Jane went to the baker who made a loaf of bread,,,,,,,,,,,,,,,
Presentation Time:,3.433333,3.45,4.1,2.766667,3.216667,,SP1,SP2,SP3,SP4,SP5,Trial Correct,,,,,,,,
Target: ,blue,train,wand,mouth,bread,,1,1,1,0,1,0,,,,,,,,
Response:,blue,train,wand,sky,bread,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,5,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,A giraffe is an animal with a long neck,At night time I go to sleep in my bed,On the pirate ship they found silver and gold,If my hair gets too long I have it cut,Ben ran faster so that he could win the race,,,,,,,,,,,,,,,
Presentation Time:,3.25,2.883333,2.9,2.766667,2.983333,,SP1,SP2,SP3,SP4,SP5,Trial Correct,,,,,,,,
Target: ,neck,bed,gold,cut,race,,1,1,1,1,1,1,,,,,,,,
Response:,neck,bed,gold,cut,race,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Five Score:,37315,,,,,,,,,,,,,,,,,,,
