PARTICIPANT DETAILS----------------------------------------------,,,,,,,,,,,,,,,,,,,,
NAME:,P9 BSE,,,,,,,,,,,,,,,,,,,
AGE:,19,,,,,,LL2,,LL3,,,LL4,,,,LL5,,,,
Presentation Time:,2.8,2.083333,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,nose,door,,,,,1,1,,,,1,,,,,,,,
Response:,nose,door,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,The window in my house is made of glass,I wear shoes and socks on my feet,,,,,,,,,,,,,,,,,,
Presentation Time:,2.316667,1.816667,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,glass,feet,,,,,1,1,,,,1,,,,,,,,
Response:,glass,feet,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Two Score:,03-Mar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,The next number after four is five,Twinkle twinkle goes the little star,The complete opposite of long is short,,,,,,,,,,,,,,,,,
Presentation Time:,2.233333,2.55,2.1,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,five,star,short,,,,0,0,1,,,0,,,,,,,,
Response:,star,long,short,,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,The dog was so happy he wagged his tail,The next number after eight is nine,The grass in the fields is coloured green,,,,,,,,,,,,,,,,,
Presentation Time:,2.333333,2.133333,2.316667,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,tail,nine,green,,,,1,1,1,,,1,,,,,,,,
Response:,tail,nine,green,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,They played soccer with a foot ball,An important man with a crown is called a king,Mum and I read a story from a book,,,,,,,,,,,,,,,,,
Presentation Time:,2.266667,2.55,2.116667,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,ball,king,book,,,,0,1,1,,,0,,,,,,,,
Response:,crown,king,book,,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
List Length Three Score:,01-Mar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,A cow eats long green grass,The football team scored the winning goal,The bus driver's job is to drive the bus,At night I go to bed and fall asleep,,,,,,,,,,,,,,,,
Presentation Time:,2.283333,2.183333,2.666667,2.783333,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,grass,goal,bus,asleep,,,0,0,0,1,,0,,,,,,,,
Response:,cow,grass,dk,asleep,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,Every day I wash and comb my hair,I have a tooth brush to help clean my teeth,My friends and I play hide and seek,After lunch Jack and Jill went up the hill,,,,,,,,,,,,,,,,
Presentation Time:,2.166667,2.466667,2.266667,2.266667,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,hair,teeth,seek,hill,,,1,1,1,1,,1,,,,,,,,
Response:,hair,teeth,seek,hill,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,The opposite of something bad is something good,You can build a house with bricks,We see things with our eyes,The mother chicken laid an egg,,,,,,,,,,,,,,,,
Presentation Time:,2.733333,2.166667,1.95,1.916667,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,good,bricks,eyes,egg,,,1,1,1,1,,1,,,,,,,,
Response:,good,bricks,eyes,egg,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Four Score:,02-Mar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,5,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,I paint on paper with a paint brush,I am very thirsty and I really want a drink,To make a snowman you need snow,I eat my dinner with a knife and fork,The fireman came to put out the fire,,,,,,,,,,,,,,,
Presentation Time:,2.933333,2.45,2.533333,2.516667,2.4,,SP1,SP2,SP3,SP4,SP5,Trial Correct,,,,,,,,
Target: ,brush,drink,snow,fork,fire,,1,1,0,0,1,0,,,,,,,,
Response:,brush,drink,dk,snow,fire,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,5,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,I like to play with my teddy bear,Jane skips with a skipping rope,A mother cat has baby kittens,The cat likes drinking milk,We wear a coat when we are cold,,,,,,,,,,,,,,,
Presentation Time:,2.1,2.1,2.2,2.083333,2.833333,,SP1,SP2,SP3,SP4,SP5,Trial Correct,,,,,,,,
Target: ,bear,rope,kittens,milk,cold,,1,0,1,0,1,0,,,,,,,,
Response:,bear,coat,kittens,coat,cold,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,5,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,Ben laughed and then clapped his hands,The big spider has eight hairy legs,'Moo moo' said the black and white cow,Food and water makes plants grow,I went to the cinema and watched a film,,,,,,,,,,,,,,,
Presentation Time:,3.083333,2.483333,2.516667,2.516667,3.6,,SP1,SP2,SP3,SP4,SP5,Trial Correct,,,,,,,,
Target: ,hands,legs,cow,grow,film,,1,1,0,1,1,0,,,,,,,,
Response:,hands,legs,dk,grow,film,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
List Length Five Score:,0/3,,,,,,,,,,,,,,,,,,,
