PARTICIPANT DETAILS----------------------------------------------,,,,,,,,,,,,,,,,,,,,
NAME:,P4 BSE,,,,,,,,,,,,,,,,,,,
AGE:,21,,,,,,LL2,,LL3,,,LL4,,,,LL5,,,,
Presentation Time:,3.283333,3.016667,2.916667,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,mouth,head,cut,,,,1,1,1,,,1,,,,,,,,
Response:,mouth,head,cut,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,Jim sometimes goes out to eat fish and chips,While I was sleeping I had a strange dream,At night time I go to sleep in my bed,,,,,,,,,,,,,,,,,
Presentation Time:,3.983333,2.916667,3.533333,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,chips,dream,bed,,,,1,1,1,,,1,,,,,,,,
Response:,chips,dream,bed,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Three Score:,03-Mar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,I can tell what the time is with my wrist watch,The big noisy dog chased the cat,He rowed across the river in a rowing boat,Around the track and 'choo choo' goes the train,,,,,,,,,,,,,,,,
Presentation Time:,3.916667,2.766667,2.683333,3.783333,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,watch,cat,boat,train,,,1,1,0,1,,0,,,,,,,,
Response:,watch,cat,dk,train,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,When it is dark we can see stars at night,The rocket made a noise as it went into outer space,Daffy is a duck and Snoopy is a dog,Jane went to the baker who made a loaf of bread,,,,,,,,,,,,,,,,
Presentation Time:,3.933333,3.716667,2.966667,3.783333,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,night,space,dog,bread,,,1,1,1,1,,1,,,,,,,,
Response:,night,space,dog,bread,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,Snow is very cold and the colour white,A dog is an animal and a robin is a bird,I put on my helmet and went for a bicycle ride,The post box on the street is coloured red,,,,,,,,,,,,,,,,
Presentation Time:,4.3,3.35,3.916667,3.35,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,white,bird,ride,red,,,0,1,1,0,,0,,,,,,,,
Response:,dk,bird,ride,bed,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
List Length Four Score:,37315,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,5,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,A giraffe is an animal with a long neck,The sky on a sunny day is coloured blue,An elephant's long nose is called a trunk,When he did the trick the magician waved his magic wand,Birds flap and flap their wings to fly,,,,,,,,,,,,,,,
Presentation Time:,1.2,0.3,0.25,0.2,0.333333,,SP1,SP2,SP3,SP4,SP5,Trial Correct,,,,,,,,
Target: ,neck,blue,trunk,wand,fly,,0,0,0,0,0,0,,,,,,,,
Response:,dk,dk,dk,dk,dk,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,5,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,The snail lost the race because it is very slow,The clown had a big smiling face,In the middle of a fire it feels very hot,A dog is in the park and it runs very fast,At lunchtime I cut my food with a knife,,,,,,,,,,,,,,,
Presentation Time:,1.066667,1.033333,0.516667,0.45,0.366667,,SP1,SP2,SP3,SP4,SP5,Trial Correct,,,,,,,,
Target: ,slow,face,hot,fast,knife,,0,0,0,0,0,0,,,,,,,,
Response:,dk,dk,dk,dk,dk,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,5,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,An important woman with a crown is called a queen,The farmer and his sheep and pigs live on a farm,I went to the swimming pool with Dad to swim,Ben ran faster so that he could win the race,On my hand I have four fingers and one thumb,,,,,,,,,,,,,,,
Presentation Time:,1.033333,1.533333,0.75,0.483333,1.4,,SP1,SP2,SP3,SP4,SP5,Trial Correct,,,,,,,,
Target: ,queen,farm,swim,race,thumb,,0,0,0,0,0,0,,,,,,,,
Response:,dk,dk,dk,dk,dk,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
List Length Five Score:,0/3,,,,,,,,,,,,,,,,,,,
