PARTICIPANT DETAILS----------------------------------------------,,,,,,,,,,,,,,,,,,,,
NAME:,P14 BSE,,,,,,,,,,,,,,,,,,,
AGE:,20,,,,,,LL2,,LL3,,,LL4,,,,LL5,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,The cat sat on the mat,The cow jumped over the moon,,,,,,,,,,,,,,,,,,
Presentation Time:,2.15,2.133333,,,,,,,,,,,,,,,,,,
Target: ,mat,moon,,,,,,,,,,,,,,,,,,
Response:,mat,moon,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Two Score:,02-Feb,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
MAIN EXPERIMENT-------------------------------------------,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
First Stage Results:,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,Snow is very cold and the colour white,If my hair gets too long I have it cut,,,,,,,,,,,,,,,,,,
Presentation Time:,3.533333,3.333333,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,white,cut,,,,,1,1,,,,1,,,,,,,,
Response:,white,cut,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,To see in the dark you can turn on a light,On the pirate ship they found silver and gold,,,,,,,,,,,,,,,,,,
Presentation Time:,3,3.283333,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,light,gold,,,,,1,1,,,,1,,,,,,,,
Response:,light,gold,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,2,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,A dog is an animal and a robin is a bird,Around the track and 'choo choo' goes the train,,,,,,,,,,,,,,,,,,
Presentation Time:,3.683333,3.95,,,,,SP1,SP2,,,,Trial Correct,,,,,,,,
Target: ,bird,train,,,,,1,1,,,,1,,,,,,,,
Response:,bird,train,,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Two Score:,03-Mar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,I put on my helmet and went for a bicycle ride,Jane went to the baker who made a loaf of bread,If I am cold on my hands I should wear my gloves,,,,,,,,,,,,,,,,,
Presentation Time:,3.933333,3.7,4.016667,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,ride,bread,gloves,,,,1,1,1,,,1,,,,,,,,
Response:,ride,bread,gloves,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,At night time I go to sleep in my bed,'Quack quack' said the mother to the little duck,The number after two and three is four,,,,,,,,,,,,,,,,,
Presentation Time:,3.583333,3.316667,3.866667,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,bed,duck,four,,,,1,1,1,,,1,,,,,,,,
Response:,bed,duck,four,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,3,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,The sky on a sunny day is coloured blue,A giraffe is an animal with a long neck,The snail lost the race because it is very slow,,,,,,,,,,,,,,,,,
Presentation Time:,3.966667,3.433333,4.483333,,,,SP1,SP2,SP3,,,Trial Correct,,,,,,,,
Target: ,blue,neck,slow,,,,0,1,1,,,0,,,,,,,,
Response:,LONG,neck,slow,,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
List Length Three Score:,03-Mar,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,I can tell what the time is with my wrist watch,Ben ran faster so that he could win the race,The next number after one and two is three,He rowed across the river in a rowing boat,,,,,,,,,,,,,,,,
Presentation Time:,3.983333,3.233333,4.166667,5.733333,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,watch,race,three,boat,,,1,1,1,1,,1,,,,,,,,
Response:,watch,race,three,boat,,,,,,,,,,,,,,,,
Trial:,Correct Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,When he did the trick the magician waved his magic wand,The farm animals that wool comes from are sheep,The big noisy dog chased the cat,If I don't have a coat and it rains I will get wet,,,,,,,,,,,,,,,,
Presentation Time:,4.75,3.8,3.1,5.466667,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,wand,sheep,cat,wet,,,0,0,0,1,,0,,,,,,,,
Response:,dk,wool,dk,wet,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,4,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,An elephant's long nose is called a trunk,A dog is in the park and it runs very fast,In the middle of a fire it feels very hot,If it is cold I put a hat on my head,,,,,,,,,,,,,,,,
Presentation Time:,3.166667,5.483333,3.666667,5.183333,,,SP1,SP2,SP3,SP4,,Trial Correct,,,,,,,,
Target: ,trunk,fast,hot,head,,,0,0,1,1,,0,,,,,,,,
Response:,wand,dk,hot,head,,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
List Length Four Score:,37315,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,5,Trial:,1,,,,,,,,,,,,,,,,,
Sentences: ,My nice white teeth are in my mouth,Jim sometimes goes out to eat fish and chips,Birds flap and flap their wings to fly,The rocket made a noise as it went into outer space,I blew the candles out on my birthday cake,,,,,,,,,,,,,,,
Presentation Time:,2.85,4.05,3.7,4.3,3.016667,,SP1,SP2,SP3,SP4,SP5,Trial Correct,,,,,,,,
Target: ,mouth,chips,fly,space,cake,,1,0,1,0,0,0,,,,,,,,
Response:,mouth,fish,fly,dk,dk,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,5,Trial:,2,,,,,,,,,,,,,,,,,
Sentences: ,When it is dark we can see stars at night,The post box on the street is coloured red,Daffy is a duck and Snoopy is a dog,The clown had a big smiling face,On my hand I have four fingers and one thumb,,,,,,,,,,,,,,,
Presentation Time:,3.616667,2.966667,3.05,3.533333,3.716667,,SP1,SP2,SP3,SP4,SP5,Trial Correct,,,,,,,,
Target: ,night,red,dog,face,thumb,,0,0,0,0,1,0,,,,,,,,
Response:,dk,face,dk,dk,thumb,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
List Length:,5,Trial:,3,,,,,,,,,,,,,,,,,
Sentences: ,While I was sleeping I had a strange dream,I went to the swimming pool with Dad to swim,Robin likes to spend all of his money at a sweet shop,At lunchtime I cut my food with a knife,The farmer and his sheep and pigs live on a farm,,,,,,,,,,,,,,,
Presentation Time:,3.783333,3.333333,4.45,4.4,4.166667,,SP1,SP2,SP3,SP4,SP5,Trial Correct,,,,,,,,
Target: ,dream,swim,shop,knife,farm,,0,1,0,0,1,0,,,,,,,,
Response:,dad,swim,knife,dk,farm,,,,,,,,,,,,,,,
Trial:,Incorrect Trial,,,,,,,,,,,,,,,,,,,
List Length Five Score:,0/3,,,,,,,,,,,,,,,,,,,
